path,frequency,traj_ids
"[83, 0, 117]",6,"[[35, 21], [35, 27], [35, 45], [35, 49], [35, 52], [35, 69]]"
"[83, 0, 116]",7,"[[35, 22], [35, 28], [35, 29], [35, 34], [35, 57], [35, 63], [35, 70]]"
"[0, 115, 0]",33,"[[35, 3], [35, 13], [35, 18], [35, 19], [35, 21], [35, 22], [35, 27], [35, 28], [35, 29], [35, 30], [35, 34], [35, 35], [35, 36], [35, 41], [35, 42], [35, 43], [35, 44], [35, 45], [35, 49], [35, 51], [35, 52], [35, 55], [35, 56], [35, 57], [35, 58], [35, 61], [35, 62], [35, 63], [35, 64], [35, 68], [35, 69], [35, 70], [35, 71]]"
"[0, 115, 83]",11,"[[35, 27], [35, 29], [35, 34], [35, 36], [35, 44], [35, 45], [35, 49], [35, 57], [35, 62], [35, 64], [35, 71]]"
"[0, 115, 40]",15,"[[35, 20], [35, 22], [35, 28], [35, 30], [35, 35], [35, 37], [35, 43], [35, 45], [35, 50], [35, 52], [35, 57], [35, 63], [35, 65], [35, 70], [35, 71]]"
"[115, 83, 0]",11,"[[35, 27], [35, 29], [35, 34], [35, 36], [35, 44], [35, 45], [35, 49], [35, 57], [35, 62], [35, 64], [35, 71]]"
"[116, 1, 115]",6,"[[35, 5], [35, 12], [35, 48], [35, 55], [35, 58], [35, 64]]"
"[1, 115, 0]",6,"[[35, 5], [35, 48], [35, 55], [35, 58], [35, 64], [35, 71]]"
"[4, 83, 0]",5,"[[35, 12], [35, 55], [67, 5], [67, 54], [71, 57]]"
"[40, 83, 0]",11,"[[35, 28], [35, 33], [35, 35], [35, 37], [35, 48], [35, 50], [35, 52], [35, 58], [35, 67], [35, 74], [74, 33]]"
"[115, 40, 83]",6,"[[35, 20], [35, 28], [35, 35], [35, 37], [35, 50], [35, 52]]"
"[21, 78, 21]",7,"[[35, 24], [38, 21], [38, 36], [38, 69], [44, 67], [52, 87], [104, 81]]"
"[78, 21, 78]",7,"[[35, 24], [38, 21], [38, 36], [38, 69], [44, 67], [52, 87], [104, 81]]"
"[6, 83, 0]",7,"[[35, 30], [35, 63], [35, 69], [35, 71], [67, 47], [74, 37], [74, 68]]"
"[25, 30, 6]",5,"[[52, 18], [52, 29], [52, 56], [147, 66], [147, 79]]"
"[164, 0, 34]",5,"[[96, 49], [96, 59], [96, 100], [179, 32], [179, 67]]"
"[21, 6, 4]",6,"[[38, 7], [38, 30], [38, 32], [38, 33], [38, 37], [38, 77]]"
"[6, 4, 6]",5,"[[38, 32], [104, 6], [104, 102], [174, 34], [174, 63]]"
"[0, 164, 214]",8,"[[96, 13], [96, 92], [96, 103], [179, 32], [179, 36], [179, 51], [179, 61], [179, 70]]"
"[209, 164, 0]",5,"[[91, 37], [91, 39], [91, 63], [91, 71], [91, 73]]"
"[214, 164, 0]",8,"[[96, 59], [179, 4], [179, 17], [179, 27], [179, 32], [179, 40], [179, 42], [179, 54]]"
"[0, 30, 0, 30]",6,"[[24, 6], [36, 14], [36, 46], [36, 49], [36, 63], [36, 65]]"
"[30, 0, 30, 0]",6,"[[24, 6], [36, 14], [36, 46], [36, 49], [36, 63], [36, 65]]"
"[83, 0, 115, 0]",25,"[[35, 3], [35, 19], [35, 21], [35, 22], [35, 27], [35, 28], [35, 29], [35, 30], [35, 34], [35, 35], [35, 36], [35, 42], [35, 44], [35, 45], [35, 49], [35, 51], [35, 52], [35, 57], [35, 58], [35, 62], [35, 63], [35, 64], [35, 69], [35, 70], [35, 71]]"
"[0, 115, 0, 1]",8,"[[35, 13], [35, 18], [35, 30], [35, 35], [35, 42], [35, 44], [35, 51], [35, 62]]"
"[0, 115, 0, 117]",7,"[[35, 21], [35, 27], [35, 45], [35, 49], [35, 52], [35, 68], [35, 69]]"
"[0, 115, 0, 116]",7,"[[35, 22], [35, 28], [35, 29], [35, 34], [35, 57], [35, 63], [35, 70]]"
"[115, 0, 40, 83]",7,"[[35, 13], [35, 33], [35, 40], [35, 48], [35, 58], [35, 67], [35, 74]]"
"[0, 40, 83, 0]",5,"[[35, 33], [35, 48], [35, 58], [35, 67], [35, 74]]"
"[115, 40, 83, 0]",5,"[[35, 28], [35, 35], [35, 37], [35, 50], [35, 52]]"
"[115, 83, 0, 115]",10,"[[35, 27], [35, 29], [35, 34], [35, 36], [35, 44], [35, 45], [35, 49], [35, 62], [35, 64], [35, 71]]"
"[40, 83, 0, 115]",6,"[[35, 28], [35, 35], [35, 37], [35, 50], [35, 52], [35, 58]]"
"[83, 0, 115, 0, 1]",6,"[[35, 30], [35, 35], [35, 42], [35, 44], [35, 51], [35, 62]]"
"[83, 0, 115, 0, 117]",6,"[[35, 21], [35, 27], [35, 45], [35, 49], [35, 52], [35, 69]]"
"[83, 0, 115, 0, 116]",7,"[[35, 22], [35, 28], [35, 29], [35, 34], [35, 57], [35, 63], [35, 70]]"
"[115, 0, 40, 83, 0]",5,"[[35, 33], [35, 48], [35, 58], [35, 67], [35, 74]]"
"[115, 83, 0, 115, 0]",10,"[[35, 27], [35, 29], [35, 34], [35, 36], [35, 44], [35, 45], [35, 49], [35, 62], [35, 64], [35, 71]]"
"[115, 40, 83, 0, 115]",5,"[[35, 28], [35, 35], [35, 37], [35, 50], [35, 52]]"
