uid,traj_id,start_time,end_time,node_sequence,time_sequence
1,39,23:44:59,00:34:28,"[2, 1, 23]","[""23:44:59"", ""00:00:01"", ""00:34:28""]"
1,41,13:28:04,14:37:00,"[0, 1, 2]","[""13:28:04"", ""14:14:18"", ""14:37:00""]"
1,42,23:50:53,00:20:54,"[2, 23]","[""23:50:53"", ""00:20:54""]"
1,43,10:47:36,14:02:03,"[0, 7, 2]","[""10:47:36"", ""13:47:01"", ""14:02:03""]"
1,44,12:18:22,13:09:26,"[0, 8, 2]","[""12:18:22"", ""12:54:26"", ""13:09:26""]"
1,45,23:49:05,00:34:10,"[2, 1, 23]","[""23:49:05"", ""00:04:09"", ""00:34:10""]"
1,46,10:27:04,14:52:55,"[0, 12, 2]","[""10:27:04"", ""13:36:09"", ""14:52:55""]"
1,47,00:06:05,00:36:07,"[2, 0]","[""00:06:05"", ""00:36:07""]"
1,48,14:59:29,15:34:33,"[0, 1]","[""14:59:29"", ""15:34:33""]"
1,49,00:05:05,00:35:09,"[2, 0]","[""00:05:05"", ""00:35:09""]"
1,50,11:26:59,12:11:53,"[0, 3, 1]","[""11:26:59"", ""11:42:01"", ""12:11:53""]"
1,51,23:53:05,06:13:35,"[2, 12, 0, 6]","[""23:53:05"", ""00:08:07"", ""00:23:09"", ""06:13:35""]"
1,52,14:22:53,14:53:29,"[0, 3, 2]","[""14:22:53"", ""14:37:53"", ""14:53:29""]"
1,53,00:23:59,00:58:59,"[2, 12, 0]","[""00:23:59"", ""00:43:58"", ""00:58:59""]"
1,54,14:35:05,16:02:14,"[0, 22, 2]","[""14:35:05"", ""14:50:05"", ""16:02:14""]"
1,55,23:57:30,03:38:57,"[2, 12, 0, 195, 0]","[""23:57:30"", ""00:13:29"", ""00:28:30"", ""03:23:55"", ""03:38:57""]"
1,59,03:01:35,14:18:48,"[0, 7, 2, 1, 0, 1]","[""03:01:35"", ""03:51:33"", ""09:52:05"", ""10:07:09"", ""10:22:09"", ""14:18:48""]"
1,60,00:15:34,00:45:36,"[2, 0]","[""00:15:34"", ""00:45:36""]"
1,61,14:28:53,14:58:59,"[0, 12]","[""14:28:53"", ""14:58:59""]"
1,62,00:20:04,15:02:03,"[2, 1, 23, 0, 27, 0, 27, 0, 20, 1, 2]","[""00:20:04"", ""00:40:38"", ""00:55:42"", ""01:46:00"", ""02:16:04"", ""02:46:04"", ""05:40:03"", ""08:58:51"", ""14:20:32"", ""14:35:36"", ""15:02:03""]"
1,63,00:15:29,00:48:12,"[2, 1, 0]","[""00:15:29"", ""00:33:12"", ""00:48:12""]"
1,64,08:05:59,11:23:21,"[0, 18, 1, 2, 1, 2]","[""08:05:59"", ""08:21:03"", ""09:43:27"", ""10:31:24"", ""10:52:18"", ""11:23:21""]"
1,65,23:55:22,00:40:24,"[2, 1, 23]","[""23:55:22"", ""00:10:24"", ""00:40:24""]"
1,66,11:05:23,12:10:06,"[0, 2]","[""11:05:23"", ""12:10:06""]"
1,67,00:05:34,05:43:19,"[2, 1, 23, 28, 163, 0, 18, 6, 0]","[""00:05:34"", ""00:24:23"", ""00:39:27"", ""03:48:29"", ""04:03:31"", ""04:18:31"", ""05:05:57"", ""05:20:58"", ""05:43:19""]"
1,68,14:19:23,15:32:09,"[0, 2]","[""14:19:23"", ""15:32:09""]"
1,69,09:22:04,19:40:41,"[2, 1, 0, 29, 30, 20, 1, 2]","[""09:22:04"", ""09:37:07"", ""10:07:11"", ""11:13:37"", ""13:18:39"", ""13:33:40"", ""13:48:44"", ""19:40:41""]"
1,70,08:03:34,08:33:37,"[2, 19, 0]","[""08:03:34"", ""08:18:35"", ""08:33:37""]"
1,71,23:55:53,00:25:57,"[2, 217, 0]","[""23:55:53"", ""00:10:55"", ""00:25:57""]"
5,1,04:12:30,15:07:43,"[3, 0, 31, 32, 0]","[""04:12:30"", ""08:30:36"", ""09:16:10"", ""10:07:50"", ""15:07:43""]"
5,2,04:17:08,04:47:08,"[0, 3, 33]","[""04:17:08"", ""04:32:08"", ""04:47:08""]"
5,3,14:04:29,14:34:49,"[33, 3, 0]","[""14:04:29"", ""14:19:29"", ""14:34:49""]"
5,6,22:57:01,11:39:38,"[33, 3, 0, 34, 0]","[""22:57:01"", ""05:06:36"", ""10:32:33"", ""10:47:33"", ""11:39:38""]"
5,7,01:27:07,01:42:07,"[33, 0]","[""01:27:07"", ""01:42:07""]"
5,11,09:35:00,13:31:45,"[0, 33, 0]","[""09:35:00"", ""09:58:05"", ""13:31:45""]"
5,13,09:50:02,13:32:09,"[0, 35, 0]","[""09:50:02"", ""13:17:09"", ""13:32:09""]"
5,14,01:33:02,14:56:04,"[33, 0, 3, 33, 8, 20, 6, 36, 30, 17, 34, 33, 246, 0]","[""01:33:02"", ""02:03:02"", ""03:00:27"", ""03:52:37"", ""07:12:45"", ""07:27:45"", ""07:42:45"", ""08:12:45"", ""09:31:55"", ""09:46:55"", ""10:17:50"", ""10:47:55"", ""14:41:04"", ""14:56:04""]"
5,17,10:11:31,12:35:07,"[33, 0]","[""10:11:31"", ""12:35:07""]"
5,18,19:00:31,05:04:22,"[0, 33, 37, 33, 37, 33, 0, 3, 0]","[""19:00:31"", ""19:44:41"", ""20:14:41"", ""20:29:41"", ""21:14:41"", ""00:10:42"", ""01:45:02"", ""04:48:50"", ""05:04:22""]"
5,22,08:48:08,16:08:32,"[0, 33, 0, 38, 0]","[""08:48:08"", ""09:03:08"", ""14:57:07"", ""15:53:32"", ""16:08:32""]"
5,23,09:35:59,16:16:01,"[0, 33, 38, 0]","[""09:35:59"", ""15:31:00"", ""16:01:00"", ""16:16:01""]"
5,26,07:51:39,12:26:47,"[33, 37, 33, 39]","[""07:51:39"", ""08:51:31"", ""10:36:37"", ""12:26:47""]"
5,27,01:13:37,14:57:48,"[33, 0, 33, 3, 0, 3, 33]","[""01:13:37"", ""04:17:09"", ""06:00:38"", ""10:17:29"", ""14:12:48"", ""14:27:48"", ""14:57:48""]"
5,29,07:09:07,14:18:29,"[0, 32, 0, 38, 0]","[""07:09:07"", ""10:49:54"", ""13:02:39"", ""14:03:29"", ""14:18:29""]"
5,33,01:03:04,04:01:50,"[33, 4, 26, 20, 33]","[""01:03:04"", ""01:33:55"", ""03:07:35"", ""03:22:35"", ""04:01:50""]"
5,34,10:36:56,10:51:56,"[33, 0]","[""10:36:56"", ""10:51:56""]"
5,37,09:37:08,12:09:43,"[0, 38, 0]","[""09:37:08"", ""11:54:43"", ""12:09:43""]"
5,38,21:51:35,06:09:06,"[0, 33, 0]","[""21:51:35"", ""23:57:01"", ""06:09:06""]"
5,40,05:16:27,05:31:27,"[33, 0]","[""05:16:27"", ""05:31:27""]"
5,42,04:53:09,09:53:08,"[33, 0]","[""04:53:09"", ""09:53:08""]"
5,43,17:14:08,17:29:08,"[33, 0]","[""17:14:08"", ""17:29:08""]"
5,44,04:16:39,04:33:49,"[0, 33]","[""04:16:39"", ""04:33:49""]"
5,45,14:24:33,14:39:33,"[33, 0]","[""14:24:33"", ""14:39:33""]"
5,46,22:30:01,22:45:11,"[0, 33]","[""22:30:01"", ""22:45:11""]"
5,47,06:38:55,14:39:30,"[33, 0, 40, 32, 31, 0]","[""06:38:55"", ""06:53:55"", ""08:40:01"", ""09:46:36"", ""10:01:36"", ""14:39:30""]"
5,50,10:15:56,13:01:59,"[33, 0, 41, 4, 0]","[""10:15:56"", ""11:09:16"", ""11:39:16"", ""12:24:16"", ""13:01:59""]"
5,52,22:26:34,10:17:30,"[0, 33, 0, 8, 6, 8, 0, 33]","[""22:26:34"", ""22:50:05"", ""02:32:40"", ""03:20:06"", ""03:35:06"", ""08:09:31"", ""09:58:50"", ""10:17:30""]"
5,53,22:49:08,11:47:08,"[33, 0, 33, 0, 38, 32, 40, 0]","[""22:49:08"", ""23:15:27"", ""06:35:09"", ""07:11:09"", ""09:11:19"", ""11:02:08"", ""11:32:08"", ""11:47:08""]"
5,56,09:48:05,10:03:05,"[3, 34]","[""09:48:05"", ""10:03:05""]"
5,58,00:42:00,06:58:06,"[33, 152, 4]","[""00:42:00"", ""06:43:06"", ""06:58:06""]"
5,62,11:20:28,05:13:04,"[0, 33, 37, 33, 0, 33, 0]","[""11:20:28"", ""19:56:53"", ""01:21:45"", ""01:39:34"", ""05:11:38"", ""20:51:22"", ""05:13:04""]"
5,63,23:19:52,06:26:55,"[0, 33, 34, 33]","[""23:19:52"", ""23:39:13"", ""05:11:34"", ""06:26:55""]"
5,66,10:15:53,13:43:57,"[0, 33, 34, 33, 0, 35]","[""10:15:53"", ""10:30:54"", ""11:18:48"", ""12:58:52"", ""13:13:52"", ""13:43:57""]"
5,67,11:07:27,11:42:01,"[0, 207]","[""11:07:27"", ""11:42:01""]"
5,71,05:07:35,11:27:58,"[34, 0, 33, 3, 0, 3]","[""05:07:35"", ""05:26:35"", ""06:36:55"", ""07:12:55"", ""07:27:55"", ""11:27:58""]"
5,72,10:02:13,12:21:04,"[34, 0]","[""10:02:13"", ""12:21:04""]"
5,75,10:06:43,10:35:38,"[0, 33]","[""10:06:43"", ""10:35:38""]"
5,76,15:19:04,15:34:04,"[0, 3]","[""15:19:04"", ""15:34:04""]"
5,79,09:51:00,14:15:32,"[0, 33]","[""09:51:00"", ""14:15:32""]"
5,81,09:31:37,15:47:32,"[3, 34, 0]","[""09:31:37"", ""10:15:37"", ""15:47:32""]"
5,84,05:31:07,05:46:07,"[33, 0]","[""05:31:07"", ""05:46:07""]"
12,1,00:57:35,03:25:58,"[0, 43, 4]","[""00:57:35"", ""02:33:38"", ""03:25:58""]"
12,4,04:25:57,06:20:15,"[0, 14, 60]","[""04:25:57"", ""04:40:57"", ""06:20:15""]"
12,8,09:01:44,09:49:25,"[3, 44, 0]","[""09:01:44"", ""09:25:19"", ""09:49:25""]"
12,9,00:41:54,04:33:47,"[0, 43, 44]","[""00:41:54"", ""03:44:12"", ""04:33:47""]"
12,15,09:44:31,10:56:26,"[43, 44, 0]","[""09:44:31"", ""10:41:25"", ""10:56:26""]"
12,19,17:33:48,09:36:25,"[0, 43, 45, 0, 35, 46]","[""17:33:48"", ""22:51:32"", ""08:45:26"", ""09:00:26"", ""09:21:22"", ""09:36:25""]"
12,22,01:06:53,09:54:31,"[0, 43, 17, 25, 47]","[""01:06:53"", ""03:33:44"", ""03:50:59"", ""04:05:59"", ""09:54:31""]"
12,24,09:38:35,10:20:32,"[44, 0]","[""09:38:35"", ""10:20:32""]"
12,25,01:38:05,03:13:16,"[0, 43]","[""01:38:05"", ""03:13:16""]"
12,26,01:19:37,14:19:37,"[0, 43, 48]","[""01:19:37"", ""03:17:49"", ""14:19:37""]"
12,27,01:37:07,10:22:12,"[0, 43, 44, 0]","[""01:37:07"", ""03:15:24"", ""09:35:54"", ""10:22:12""]"
12,30,01:46:01,03:19:54,"[0, 43]","[""01:46:01"", ""03:19:54""]"
12,31,01:14:29,03:16:14,"[0, 43]","[""01:14:29"", ""03:16:14""]"
12,32,01:30:59,12:21:43,"[0, 43, 20, 0]","[""01:30:59"", ""03:13:36"", ""12:06:42"", ""12:21:43""]"
12,34,09:43:00,12:35:05,"[123, 43]","[""09:43:00"", ""12:35:05""]"
12,35,01:22:59,03:17:36,"[0, 50, 43]","[""01:22:59"", ""01:38:01"", ""03:17:36""]"
12,38,05:55:59,13:10:08,"[0, 51, 0]","[""05:55:59"", ""09:56:04"", ""13:10:08""]"
12,39,01:26:29,03:18:24,"[0, 43]","[""01:26:29"", ""03:18:24""]"
12,40,01:22:29,11:11:00,"[0, 43, 0]","[""01:22:29"", ""03:17:54"", ""11:11:00""]"
12,42,01:21:29,10:35:30,"[0, 43, 0]","[""01:21:29"", ""03:33:48"", ""10:35:30""]"
12,43,01:32:34,10:27:48,"[0, 43, 0]","[""01:32:34"", ""03:17:06"", ""10:27:48""]"
12,45,02:31:58,02:49:12,"[195, 0]","[""02:31:58"", ""02:49:12""]"
12,46,04:11:36,04:38:00,"[0, 43]","[""04:11:36"", ""04:38:00""]"
12,48,01:05:59,11:30:06,"[0, 43, 16, 0]","[""01:05:59"", ""03:17:06"", ""10:55:58"", ""11:30:06""]"
12,49,01:28:05,03:11:36,"[0, 43]","[""01:28:05"", ""03:11:36""]"
12,50,11:40:23,11:55:23,"[16, 0]","[""11:40:23"", ""11:55:23""]"
12,51,00:50:29,11:53:58,"[0, 43, 3, 0]","[""00:50:29"", ""03:06:59"", ""11:19:43"", ""11:53:58""]"
12,52,01:35:59,03:13:35,"[0, 43]","[""01:35:59"", ""03:13:35""]"
12,56,03:40:23,07:33:12,"[47, 43, 0]","[""03:40:23"", ""05:21:48"", ""07:33:12""]"
12,57,00:42:34,03:03:35,"[0, 43]","[""00:42:34"", ""03:03:35""]"
12,59,10:38:36,11:20:34,"[43, 6]","[""10:38:36"", ""11:20:34""]"
12,62,01:20:29,03:16:53,"[0, 43]","[""01:20:29"", ""03:16:53""]"
12,63,01:52:35,03:33:00,"[0, 43]","[""01:52:35"", ""03:33:00""]"
12,64,01:33:35,03:18:30,"[0, 43]","[""01:33:35"", ""03:18:30""]"
12,69,01:43:29,03:14:35,"[0, 43]","[""01:43:29"", ""03:14:35""]"
12,70,09:51:29,10:45:12,"[43, 0]","[""09:51:29"", ""10:45:12""]"
12,71,03:22:04,11:28:13,"[43, 0]","[""03:22:04"", ""11:28:13""]"
12,72,01:33:53,03:17:30,"[0, 43]","[""01:33:53"", ""03:17:30""]"
12,73,01:43:05,03:16:36,"[0, 43]","[""01:43:05"", ""03:16:36""]"
12,74,01:36:05,03:10:48,"[0, 43]","[""01:36:05"", ""03:10:48""]"
12,77,01:35:29,03:14:36,"[0, 43]","[""01:35:29"", ""03:14:36""]"
19,2,03:03:45,10:37:57,"[53, 54, 55, 56]","[""03:03:45"", ""09:01:22"", ""10:04:47"", ""10:37:57""]"
19,15,03:34:53,03:52:48,"[59, 52]","[""03:34:53"", ""03:52:48""]"
19,37,10:41:10,10:56:11,"[59, 52]","[""10:41:10"", ""10:56:11""]"
19,38,23:21:58,00:09:13,"[57, 60]","[""23:21:58"", ""00:09:13""]"
19,40,03:41:23,03:56:26,"[58, 55]","[""03:41:23"", ""03:56:26""]"
19,45,06:53:03,09:54:49,"[0, 20, 0]","[""06:53:03"", ""09:39:45"", ""09:54:49""]"
19,50,10:48:07,11:34:58,"[56, 57, 60]","[""10:48:07"", ""11:04:53"", ""11:34:58""]"
19,59,10:31:11,10:50:40,"[58, 52]","[""10:31:11"", ""10:50:40""]"
19,61,05:46:13,06:19:02,"[55, 52, 56]","[""05:46:13"", ""06:01:36"", ""06:19:02""]"
24,1,01:00:33,15:27:54,"[0, 30, 0, 134, 30, 0]","[""01:00:33"", ""03:42:56"", ""04:11:36"", ""10:14:37"", ""10:39:37"", ""15:27:54""]"
24,4,04:07:03,11:17:40,"[0, 61, 0, 30]","[""04:07:03"", ""10:31:40"", ""10:46:40"", ""11:17:40""]"
24,6,10:20:16,09:37:19,"[40, 0, 30, 0, 30, 62, 63, 6, 0]","[""10:20:16"", ""11:10:02"", ""02:06:13"", ""04:39:40"", ""06:38:55"", ""07:08:55"", ""08:52:13"", ""09:22:19"", ""09:37:19""]"
24,9,09:11:08,09:41:08,"[97, 64]","[""09:11:08"", ""09:41:08""]"
24,10,02:29:35,08:27:55,"[65, 66, 64]","[""02:29:35"", ""07:56:40"", ""08:27:55""]"
24,11,00:51:03,07:24:29,"[64, 67, 64]","[""00:51:03"", ""07:09:29"", ""07:24:29""]"
24,12,00:25:37,06:06:17,"[64, 4, 64]","[""00:25:37"", ""04:16:02"", ""06:06:17""]"
24,13,00:34:31,10:03:26,"[64, 94, 64]","[""00:34:31"", ""00:49:31"", ""10:03:26""]"
24,14,02:21:31,03:36:31,"[64, 68]","[""02:21:31"", ""03:36:31""]"
24,15,00:56:31,09:05:54,"[68, 69, 70, 71, 64]","[""00:56:31"", ""01:24:03"", ""04:57:04"", ""07:55:49"", ""09:05:54""]"
24,16,04:16:06,08:54:16,"[11, 51, 66, 64]","[""04:16:06"", ""05:01:06"", ""07:53:36"", ""08:54:16""]"
24,17,00:52:06,08:54:26,"[64, 68, 72, 68, 72, 68, 73]","[""00:52:06"", ""02:46:31"", ""03:31:31"", ""05:17:31"", ""06:02:31"", ""07:52:41"", ""08:54:26""]"
24,18,00:27:06,10:34:06,"[64, 68, 74, 64]","[""00:27:06"", ""03:28:51"", ""07:27:11"", ""10:34:06""]"
24,19,00:26:08,12:11:28,"[64, 4, 75, 76, 64, 11]","[""00:26:08"", ""00:56:08"", ""01:26:08"", ""05:38:34"", ""08:41:33"", ""12:11:28""]"
24,20,23:47:18,05:25:12,"[64, 127, 77, 78, 6, 64]","[""23:47:18"", ""00:02:18"", ""00:17:18"", ""02:24:06"", ""04:50:07"", ""05:25:12""]"
24,21,02:10:02,09:15:43,"[64, 79, 80]","[""02:10:02"", ""09:00:33"", ""09:15:43""]"
24,22,02:17:35,02:47:35,"[80, 81]","[""02:17:35"", ""02:47:35""]"
24,24,07:02:25,07:32:25,"[81, 80]","[""07:02:25"", ""07:32:25""]"
24,25,02:25:08,04:07:53,"[80, 82]","[""02:25:08"", ""04:07:53""]"
24,27,02:21:04,12:14:33,"[80, 79, 82, 80]","[""02:21:04"", ""03:46:29"", ""05:03:34"", ""12:14:33""]"
24,28,22:56:36,08:12:36,"[80, 83, 77, 64, 82]","[""22:56:36"", ""00:12:06"", ""00:47:41"", ""06:37:16"", ""08:12:36""]"
24,29,01:42:00,09:52:44,"[80, 79, 82]","[""01:42:00"", ""01:57:10"", ""09:52:44""]"
24,31,00:09:29,09:43:53,"[64, 71, 73, 64]","[""00:09:29"", ""06:09:04"", ""08:47:44"", ""09:43:53""]"
24,32,05:05:04,08:07:59,"[64, 84, 4, 1, 64, 66]","[""05:05:04"", ""06:07:29"", ""07:17:34"", ""07:32:34"", ""07:52:59"", ""08:07:59""]"
24,33,23:28:30,23:58:32,"[85, 4]","[""23:28:30"", ""23:58:32""]"
24,34,09:08:31,09:38:31,"[20, 64]","[""09:08:31"", ""09:38:31""]"
24,35,07:24:32,10:38:16,"[64, 71, 68, 64]","[""07:24:32"", ""07:39:36"", ""08:33:36"", ""10:38:16""]"
24,39,00:34:04,09:02:49,"[64, 65, 86, 64, 82]","[""00:34:04"", ""01:48:59"", ""02:03:59"", ""05:44:59"", ""09:02:49""]"
24,40,03:29:31,06:19:01,"[80, 79, 87]","[""03:29:31"", ""04:34:56"", ""06:19:01""]"
24,41,01:14:37,07:19:52,"[64, 68, 88]","[""01:14:37"", ""03:16:17"", ""07:19:52""]"
24,42,00:22:31,10:57:50,"[64, 89, 64]","[""00:22:31"", ""04:32:09"", ""10:57:50""]"
24,43,01:37:35,09:51:35,"[64, 68, 1, 64]","[""01:37:35"", ""06:27:35"", ""09:20:15"", ""09:51:35""]"
24,44,00:37:02,01:24:07,"[90, 91]","[""00:37:02"", ""01:24:07""]"
24,45,01:49:32,05:39:47,"[64, 20, 92, 93, 20, 94, 79]","[""01:49:32"", ""02:19:33"", ""02:34:33"", ""02:49:33"", ""03:04:37"", ""04:08:37"", ""05:39:47""]"
24,46,22:16:07,10:56:31,"[80, 64, 91, 64]","[""22:16:07"", ""01:31:31"", ""02:16:31"", ""10:56:31""]"
24,47,23:25:37,00:25:37,"[64, 0, 45]","[""23:25:37"", ""23:55:37"", ""00:25:37""]"
24,48,09:06:38,09:36:38,"[45, 0]","[""09:06:38"", ""09:36:38""]"
24,49,01:09:35,10:58:55,"[64, 95, 68, 95, 64]","[""01:09:35"", ""02:52:55"", ""05:57:35"", ""08:43:55"", ""10:58:55""]"
24,50,04:39:37,09:45:27,"[64, 96, 97, 64]","[""04:39:37"", ""05:11:52"", ""07:35:22"", ""09:45:27""]"
24,51,00:37:55,06:18:54,"[64, 79, 98, 81]","[""00:37:55"", ""02:18:49"", ""02:56:19"", ""06:18:54""]"
24,52,01:08:06,11:41:11,"[81, 90, 228, 64, 85]","[""01:08:06"", ""02:38:06"", ""08:11:11"", ""08:56:11"", ""11:41:11""]"
24,53,05:09:24,09:29:59,"[64, 4, 1, 64]","[""05:09:24"", ""08:59:59"", ""09:14:59"", ""09:29:59""]"
24,54,00:09:02,13:35:17,"[64, 89, 66]","[""00:09:02"", ""02:18:17"", ""13:35:17""]"
24,55,00:23:36,11:06:51,"[64, 95, 68, 64]","[""00:23:36"", ""02:08:46"", ""05:08:36"", ""11:06:51""]"
24,56,04:56:30,08:17:00,"[64, 79]","[""04:56:30"", ""08:17:00""]"
24,57,23:58:38,08:17:52,"[80, 79, 87, 80, 79, 67, 64, 0]","[""23:58:38"", ""00:22:34"", ""03:30:49"", ""04:30:49"", ""06:14:14"", ""07:14:14"", ""07:32:49"", ""08:17:52""]"
24,58,09:26:31,09:56:31,"[0, 99, 64]","[""09:26:31"", ""09:41:31"", ""09:56:31""]"
24,59,00:38:25,11:28:25,"[64, 100, 64]","[""00:38:25"", ""01:55:20"", ""11:28:25""]"
24,60,01:51:08,11:43:01,"[64, 91, 64, 11, 0, 11, 64]","[""01:51:08"", ""02:36:08"", ""09:03:05"", ""09:18:41"", ""09:33:41"", ""11:11:36"", ""11:43:01""]"
24,62,00:42:04,11:28:19,"[64, 86, 79, 87]","[""00:42:04"", ""03:21:59"", ""11:13:19"", ""11:28:19""]"
24,63,01:02:38,10:32:00,"[80, 79, 81, 90]","[""01:02:38"", ""01:40:52"", ""02:28:12"", ""10:32:00""]"
24,64,01:51:32,10:53:08,"[64, 68, 101, 85, 64]","[""01:51:32"", ""03:25:22"", ""06:29:22"", ""10:23:08"", ""10:53:08""]"
24,67,00:15:38,09:32:28,"[64, 68, 102, 0, 73, 64]","[""00:15:38"", ""04:50:58"", ""06:35:58"", ""08:05:58"", ""09:02:28"", ""09:32:28""]"
24,68,09:23:07,09:59:52,"[73, 64]","[""09:23:07"", ""09:59:52""]"
24,70,23:53:31,09:49:17,"[64, 21, 73, 85, 64]","[""23:53:31"", ""08:19:17"", ""08:34:17"", ""09:34:17"", ""09:49:17""]"
24,72,23:20:16,10:31:56,"[64, 12, 45, 103, 68, 64]","[""23:20:16"", ""23:35:16"", ""23:50:16"", ""04:42:16"", ""09:01:56"", ""10:31:56""]"
24,73,01:23:39,06:01:34,"[103, 64]","[""01:23:39"", ""06:01:34""]"
24,74,03:47:06,06:59:57,"[64, 1, 4, 6, 1, 64]","[""03:47:06"", ""04:17:06"", ""04:32:06"", ""06:14:57"", ""06:44:57"", ""06:59:57""]"
24,75,00:24:25,04:29:30,"[64, 91, 64]","[""00:24:25"", ""03:29:30"", ""04:29:30""]"
