frequency,traj_ids,source,avg_start_hour,time_entropy,peak_period,path_length,spatial_length,center_x,center_y,spatial_entropy,path,poi_types,dominant_poi,poi_entropy
4,"[[179, 62], [19, 45], [78, 2], [96, 94]]","[""NDTTJ"", ""NDTTT""]",7.95,1.5,night,5,0.091,116.322336,39.985137,1.942,"[0, 20, 0, 20, 0]","[""科教文化服务""]",科教文化服务,0.0
4,"[[179, 62], [19, 45], [78, 2], [96, 94]]","[""NDTTJ"", ""NDTTT""]",7.95,1.5,night,6,0.114,116.320164,39.985811,2.0,"[0, 20, 0, 20, 0, 20]","[""科教文化服务""]",科教文化服务,0.0
4,"[[179, 62], [19, 45], [78, 2], [96, 94]]","[""NDTTJ"", ""NDTTT""]",7.95,1.5,night,7,0.136,116.321715,39.98533,1.97,"[0, 20, 0, 20, 0, 20, 0]","[""科教文化服务""]",科教文化服务,0.0
4,"[[179, 62], [19, 45], [78, 2], [96, 94]]","[""NDTTJ"", ""NDTTT""]",7.95,1.5,night,8,0.159,116.320164,39.985811,2.0,"[0, 20, 0, 20, 0, 20, 0, 20]","[""科教文化服务""]",科教文化服务,0.0
4,"[[179, 62], [19, 45], [78, 2], [96, 94]]","[""NDTTT""]",7.95,1.5,night,9,0.182,116.321371,39.985437,1.982,"[0, 20, 0, 20, 0, 20, 0, 20, 0]","[""科教文化服务""]",科教文化服务,0.0
4,"[[179, 62], [19, 45], [78, 2], [96, 94]]","[""NDTTT""]",7.95,1.5,night,10,0.205,116.320164,39.985811,2.0,"[0, 20, 0, 20, 0, 20, 0, 20, 0, 20]","[""科教文化服务""]",科教文化服务,0.0
4,"[[179, 62], [19, 45], [78, 2], [96, 94]]","[""NDTTT""]",7.95,1.5,night,11,0.227,116.321151,39.985505,1.988,"[0, 20, 0, 20, 0, 20, 0, 20, 0, 20, 0]","[""科教文化服务""]",科教文化服务,0.0
4,"[[179, 62], [19, 45], [78, 2], [96, 94]]","[""NDTTT""]",7.95,1.5,night,12,0.25,116.320164,39.985811,2.0,"[0, 20, 0, 20, 0, 20, 0, 20, 0, 20, 0, 20]","[""科教文化服务""]",科教文化服务,0.0
4,"[[174, 12], [179, 10], [179, 62], [96, 94]]","[""NDTTJ"", ""NDTTT"", ""TTHS""]",3.44,0.811,night,3,0.029,116.315801,39.985056,3.17,"[0, 20, 4]","[""科教文化服务"", ""购物服务""]",科教文化服务,0.918
20,"[[24, 1], [24, 6], [36, 14], [36, 15], [36, 24], [36, 25], [36, 31], [36, 35], [36, 36], [36, 39], [36, 41], [36, 44], [36, 46], [36, 49], [36, 54], [36, 57], [36, 60], [36, 63], [36, 65], [44, 20]]","[""NDTTJ"", ""NDTTT""]",7.86,3.304,night,3,0.031,116.336175,39.981986,1.837,"[0, 30, 0]","[""科教文化服务""]",科教文化服务,0.0
20,"[[24, 1], [24, 6], [36, 14], [36, 15], [36, 24], [36, 25], [36, 31], [36, 35], [36, 36], [36, 39], [36, 41], [36, 44], [36, 46], [36, 49], [36, 54], [36, 57], [36, 60], [36, 63], [36, 65], [44, 20]]","[""NDTTJ"", ""NDTTT""]",7.86,3.304,night,4,0.047,116.338751,39.981757,2.0,"[0, 30, 0, 30]","[""科教文化服务""]",科教文化服务,0.0
20,"[[24, 1], [24, 6], [36, 14], [36, 15], [36, 24], [36, 25], [36, 31], [36, 35], [36, 36], [36, 39], [36, 41], [36, 44], [36, 46], [36, 49], [36, 54], [36, 57], [36, 60], [36, 63], [36, 65], [44, 20]]","[""NDTTJ"", ""NDTTT""]",7.86,3.304,night,5,0.062,116.337205,39.981894,1.942,"[0, 30, 0, 30, 0]","[""科教文化服务""]",科教文化服务,0.0
20,"[[24, 1], [24, 6], [36, 14], [36, 15], [36, 24], [36, 25], [36, 31], [36, 35], [36, 36], [36, 39], [36, 41], [36, 44], [36, 46], [36, 49], [36, 54], [36, 57], [36, 60], [36, 63], [36, 65], [44, 20]]","[""NDTTJ"", ""NDTTT""]",7.86,3.304,night,6,0.078,116.338751,39.981757,2.0,"[0, 30, 0, 30, 0, 30]","[""科教文化服务""]",科教文化服务,0.0
20,"[[24, 1], [24, 6], [36, 14], [36, 15], [36, 24], [36, 25], [36, 31], [36, 35], [36, 36], [36, 39], [36, 41], [36, 44], [36, 46], [36, 49], [36, 54], [36, 57], [36, 60], [36, 63], [36, 65], [44, 20]]","[""NDTTJ"", ""NDTTT""]",7.86,3.304,night,7,0.093,116.337647,39.981855,1.97,"[0, 30, 0, 30, 0, 30, 0]","[""科教文化服务""]",科教文化服务,0.0
20,"[[24, 1], [24, 6], [36, 14], [36, 15], [36, 24], [36, 25], [36, 31], [36, 35], [36, 36], [36, 39], [36, 41], [36, 44], [36, 46], [36, 49], [36, 54], [36, 57], [36, 60], [36, 63], [36, 65], [44, 20]]","[""NDTTJ"", ""NDTTT""]",7.86,3.304,night,8,0.109,116.338751,39.981757,2.0,"[0, 30, 0, 30, 0, 30, 0, 30]","[""科教文化服务""]",科教文化服务,0.0
20,"[[24, 1], [24, 6], [36, 14], [36, 15], [36, 24], [36, 25], [36, 31], [36, 35], [36, 36], [36, 39], [36, 41], [36, 44], [36, 46], [36, 49], [36, 54], [36, 57], [36, 60], [36, 63], [36, 65], [44, 20]]","[""NDTTT""]",7.86,3.304,night,9,0.124,116.337892,39.981833,1.982,"[0, 30, 0, 30, 0, 30, 0, 30, 0]","[""科教文化服务""]",科教文化服务,0.0
20,"[[24, 1], [24, 6], [36, 14], [36, 15], [36, 24], [36, 25], [36, 31], [36, 35], [36, 36], [36, 39], [36, 41], [36, 44], [36, 46], [36, 49], [36, 54], [36, 57], [36, 60], [36, 63], [36, 65], [44, 20]]","[""NDTTT""]",7.86,3.304,night,10,0.14,116.338751,39.981757,2.0,"[0, 30, 0, 30, 0, 30, 0, 30, 0, 30]","[""科教文化服务""]",科教文化服务,0.0
20,"[[24, 1], [24, 6], [36, 14], [36, 15], [36, 24], [36, 25], [36, 31], [36, 35], [36, 36], [36, 39], [36, 41], [36, 44], [36, 46], [36, 49], [36, 54], [36, 57], [36, 60], [36, 63], [36, 65], [44, 20]]","[""NDTTT""]",7.86,3.304,night,11,0.155,116.338048,39.98182,1.988,"[0, 30, 0, 30, 0, 30, 0, 30, 0, 30, 0]","[""科教文化服务""]",科教文化服务,0.0
20,"[[24, 1], [24, 6], [36, 14], [36, 15], [36, 24], [36, 25], [36, 31], [36, 35], [36, 36], [36, 39], [36, 41], [36, 44], [36, 46], [36, 49], [36, 54], [36, 57], [36, 60], [36, 63], [36, 65], [44, 20]]","[""NDTTT""]",7.86,3.304,night,12,0.171,116.338751,39.981757,2.0,"[0, 30, 0, 30, 0, 30, 0, 30, 0, 30, 0, 30]","[""科教文化服务""]",科教文化服务,0.0
9,"[[5, 11], [5, 18], [5, 22], [5, 27], [5, 38], [5, 52], [5, 53], [5, 62], [5, 66]]","[""NDTTJ"", ""NDTTT""]",14.14,2.948,night,3,0.06,116.32787,39.991986,1.837,"[0, 33, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.918
9,"[[5, 11], [5, 18], [5, 22], [5, 27], [5, 38], [5, 52], [5, 53], [5, 62], [5, 66]]","[""NDTTJ"", ""NDTTT""]",14.14,2.948,night,4,0.09,116.326293,39.996757,2.0,"[0, 33, 0, 33]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
9,"[[5, 11], [5, 18], [5, 22], [5, 27], [5, 38], [5, 52], [5, 53], [5, 62], [5, 66]]","[""NDTTJ"", ""NDTTT""]",14.14,2.948,night,5,0.121,116.327239,39.993895,1.942,"[0, 33, 0, 33, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.971
9,"[[5, 11], [5, 18], [5, 22], [5, 27], [5, 38], [5, 52], [5, 53], [5, 62], [5, 66]]","[""NDTTJ"", ""NDTTT""]",14.14,2.948,night,6,0.151,116.326293,39.996757,2.0,"[0, 33, 0, 33, 0, 33]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
9,"[[5, 11], [5, 18], [5, 22], [5, 27], [5, 38], [5, 52], [5, 53], [5, 62], [5, 66]]","[""NDTTJ"", ""NDTTT""]",14.14,2.948,night,7,0.181,116.326969,39.994713,1.97,"[0, 33, 0, 33, 0, 33, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.985
9,"[[5, 11], [5, 18], [5, 22], [5, 27], [5, 38], [5, 52], [5, 53], [5, 62], [5, 66]]","[""NDTTJ"", ""NDTTT""]",14.14,2.948,night,8,0.211,116.326293,39.996757,2.0,"[0, 33, 0, 33, 0, 33, 0, 33]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
9,"[[5, 11], [5, 18], [5, 22], [5, 27], [5, 38], [5, 52], [5, 53], [5, 62], [5, 66]]","[""NDTTT""]",14.14,2.948,night,9,0.241,116.326819,39.995167,1.982,"[0, 33, 0, 33, 0, 33, 0, 33, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.991
9,"[[5, 11], [5, 18], [5, 22], [5, 27], [5, 38], [5, 52], [5, 53], [5, 62], [5, 66]]","[""NDTTT""]",14.14,2.948,night,10,0.271,116.326293,39.996757,2.0,"[0, 33, 0, 33, 0, 33, 0, 33, 0, 33]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
9,"[[5, 11], [5, 18], [5, 22], [5, 27], [5, 38], [5, 52], [5, 53], [5, 62], [5, 66]]","[""NDTTT""]",14.14,2.948,night,11,0.301,116.326723,39.995456,1.988,"[0, 33, 0, 33, 0, 33, 0, 33, 0, 33, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.994
9,"[[5, 11], [5, 18], [5, 22], [5, 27], [5, 38], [5, 52], [5, 53], [5, 62], [5, 66]]","[""NDTTT""]",14.14,2.948,night,12,0.332,116.326293,39.996757,2.0,"[0, 33, 0, 33, 0, 33, 0, 33, 0, 33, 0, 33]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
4,"[[5, 63], [5, 66], [96, 109], [96, 49]]","[""NDTTJ"", ""NDTTT"", ""TTHS""]",12.76,2.0,midday,3,0.034,116.324026,40.000476,3.17,"[0, 33, 34]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.918
6,"[[179, 25], [179, 32], [5, 6], [96, 1], [96, 12], [96, 49]]","[""NDTTJ"", ""NDTTT""]",12.4,2.585,midday,3,0.056,116.327179,39.990934,1.837,"[0, 34, 0]","[""科教文化服务""]",科教文化服务,0.0
6,"[[179, 25], [179, 32], [5, 6], [96, 1], [96, 12], [96, 49]]","[""NDTTJ"", ""NDTTT""]",12.4,2.585,midday,4,0.084,116.325257,39.995179,2.0,"[0, 34, 0, 34]","[""科教文化服务""]",科教文化服务,0.0
6,"[[179, 25], [179, 32], [5, 6], [96, 1], [96, 12], [96, 49]]","[""NDTTJ"", ""NDTTT""]",12.4,2.585,midday,5,0.112,116.326411,39.992632,1.942,"[0, 34, 0, 34, 0]","[""科教文化服务""]",科教文化服务,0.0
6,"[[179, 25], [179, 32], [5, 6], [96, 1], [96, 12], [96, 49]]","[""NDTTJ"", ""NDTTT""]",12.4,2.585,midday,6,0.14,116.325257,39.995179,2.0,"[0, 34, 0, 34, 0, 34]","[""科教文化服务""]",科教文化服务,0.0
6,"[[179, 25], [179, 32], [5, 6], [96, 1], [96, 12], [96, 49]]","[""NDTTJ"", ""NDTTT""]",12.4,2.585,midday,7,0.168,116.326081,39.99336,1.97,"[0, 34, 0, 34, 0, 34, 0]","[""科教文化服务""]",科教文化服务,0.0
6,"[[179, 25], [179, 32], [5, 6], [96, 1], [96, 12], [96, 49]]","[""NDTTJ"", ""NDTTT""]",12.4,2.585,midday,8,0.196,116.325257,39.995179,2.0,"[0, 34, 0, 34, 0, 34, 0, 34]","[""科教文化服务""]",科教文化服务,0.0
6,"[[179, 25], [179, 32], [5, 6], [96, 1], [96, 12], [96, 49]]","[""NDTTT""]",12.4,2.585,midday,9,0.224,116.325898,39.993764,1.982,"[0, 34, 0, 34, 0, 34, 0, 34, 0]","[""科教文化服务""]",科教文化服务,0.0
6,"[[179, 25], [179, 32], [5, 6], [96, 1], [96, 12], [96, 49]]","[""NDTTT""]",12.4,2.585,midday,10,0.252,116.325257,39.995179,2.0,"[0, 34, 0, 34, 0, 34, 0, 34, 0, 34]","[""科教文化服务""]",科教文化服务,0.0
6,"[[179, 25], [179, 32], [5, 6], [96, 1], [96, 12], [96, 49]]","[""NDTTT""]",12.4,2.585,midday,11,0.28,116.325782,39.994021,1.988,"[0, 34, 0, 34, 0, 34, 0, 34, 0, 34, 0]","[""科教文化服务""]",科教文化服务,0.0
6,"[[179, 25], [179, 32], [5, 6], [96, 1], [96, 12], [96, 49]]","[""NDTTT""]",12.4,2.585,midday,12,0.308,116.325257,39.995179,2.0,"[0, 34, 0, 34, 0, 34, 0, 34, 0, 34, 0, 34]","[""科教文化服务""]",科教文化服务,0.0
7,"[[35, 13], [35, 33], [35, 40], [35, 48], [35, 58], [35, 67], [35, 74]]","[""NDTTJ"", ""NDTTT"", ""TTHS""]",21.52,0.0,night,3,0.055,116.325376,39.978086,3.17,"[0, 40, 83]","[""商务住宅"", ""科教文化服务""]",商务住宅,0.918
5,"[[35, 33], [35, 48], [35, 58], [35, 67], [35, 74]]","[""NDTTJ"", ""NDTTT""]",21.4,0.0,night,4,0.085,116.326788,39.979175,3.0,"[0, 40, 83, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
5,"[[35, 33], [35, 48], [35, 58], [35, 67], [35, 74]]","[""NDTTJ"", ""NDTTT""]",21.4,0.0,night,5,0.099,116.330029,39.978222,3.044,"[0, 40, 83, 0, 40]","[""商务住宅"", ""科教文化服务""]",商务住宅,0.971
5,"[[35, 33], [35, 48], [35, 58], [35, 67], [35, 74]]","[""NDTTJ"", ""NDTTT""]",21.4,0.0,night,6,0.14,116.325376,39.978086,3.17,"[0, 40, 83, 0, 40, 83]","[""商务住宅"", ""科教文化服务""]",商务住宅,0.918
5,"[[35, 33], [35, 48], [35, 58], [35, 67], [35, 74]]","[""NDTTJ"", ""NDTTT""]",21.4,0.0,night,7,0.17,116.326183,39.978708,3.113,"[0, 40, 83, 0, 40, 83, 0]","[""商务住宅"", ""科教文化服务""]",商务住宅,0.985
5,"[[35, 33], [35, 48], [35, 58], [35, 67], [35, 74]]","[""NDTTJ"", ""NDTTT""]",21.4,0.0,night,8,0.184,116.328285,39.978171,3.123,"[0, 40, 83, 0, 40, 83, 0, 40]","[""商务住宅"", ""科教文化服务""]",商务住宅,0.954
5,"[[35, 33], [35, 48], [35, 58], [35, 67], [35, 74]]","[""NDTTT""]",21.4,0.0,night,9,0.225,116.325376,39.978086,3.17,"[0, 40, 83, 0, 40, 83, 0, 40, 83]","[""商务住宅"", ""科教文化服务""]",商务住宅,0.918
5,"[[35, 33], [35, 48], [35, 58], [35, 67], [35, 74]]","[""NDTTT""]",21.4,0.0,night,10,0.254,116.325941,39.978522,3.142,"[0, 40, 83, 0, 40, 83, 0, 40, 83, 0]","[""商务住宅"", ""科教文化服务""]",商务住宅,0.971
5,"[[35, 33], [35, 48], [35, 58], [35, 67], [35, 74]]","[""NDTTT""]",21.4,0.0,night,11,0.269,116.327491,39.978148,3.145,"[0, 40, 83, 0, 40, 83, 0, 40, 83, 0, 40]","[""商务住宅"", ""科教文化服务""]",商务住宅,0.946
5,"[[35, 33], [35, 48], [35, 58], [35, 67], [35, 74]]","[""NDTTT""]",21.4,0.0,night,12,0.31,116.325376,39.978086,3.17,"[0, 40, 83, 0, 40, 83, 0, 40, 83, 0, 40, 83]","[""商务住宅"", ""科教文化服务""]",商务住宅,0.918
4,"[[35, 60], [35, 65], [67, 5], [74, 75]]","[""NDTTJ"", ""NDTTT""]",17.01,2.0,midday,3,0.059,116.321386,39.980764,1.837,"[0, 83, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.918
4,"[[35, 60], [35, 65], [67, 5], [74, 75]]","[""NDTTJ"", ""NDTTT""]",17.01,2.0,midday,4,0.088,116.316567,39.979924,2.0,"[0, 83, 0, 83]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
4,"[[35, 60], [35, 65], [67, 5], [74, 75]]","[""NDTTJ"", ""NDTTT""]",17.01,2.0,midday,5,0.117,116.319458,39.980428,1.942,"[0, 83, 0, 83, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.971
4,"[[35, 60], [35, 65], [67, 5], [74, 75]]","[""NDTTJ"", ""NDTTT""]",17.01,2.0,midday,6,0.147,116.316567,39.979924,2.0,"[0, 83, 0, 83, 0, 83]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
4,"[[35, 60], [35, 65], [67, 5], [74, 75]]","[""NDTTJ"", ""NDTTT""]",17.01,2.0,midday,7,0.176,116.318632,39.980284,1.97,"[0, 83, 0, 83, 0, 83, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.985
4,"[[35, 60], [35, 65], [67, 5], [74, 75]]","[""NDTTJ"", ""NDTTT""]",17.01,2.0,midday,8,0.205,116.316567,39.979924,2.0,"[0, 83, 0, 83, 0, 83, 0, 83]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
4,"[[35, 60], [35, 65], [67, 5], [74, 75]]","[""NDTTT""]",17.01,2.0,midday,9,0.235,116.318173,39.980204,1.982,"[0, 83, 0, 83, 0, 83, 0, 83, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.991
4,"[[35, 60], [35, 65], [67, 5], [74, 75]]","[""NDTTT""]",17.01,2.0,midday,10,0.264,116.316567,39.979924,2.0,"[0, 83, 0, 83, 0, 83, 0, 83, 0, 83]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
4,"[[35, 60], [35, 65], [67, 5], [74, 75]]","[""NDTTT""]",17.01,2.0,midday,11,0.293,116.317881,39.980153,1.988,"[0, 83, 0, 83, 0, 83, 0, 83, 0, 83, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.994
4,"[[35, 60], [35, 65], [67, 5], [74, 75]]","[""NDTTT""]",17.01,2.0,midday,12,0.323,116.316567,39.979924,2.0,"[0, 83, 0, 83, 0, 83, 0, 83, 0, 83, 0, 83]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
33,"[[35, 13], [35, 18], [35, 19], [35, 21], [35, 22], [35, 27], [35, 28], [35, 29], [35, 3], [35, 30], [35, 34], [35, 35], [35, 36], [35, 41], [35, 42], [35, 43], [35, 44], [35, 45], [35, 49], [35, 51], [35, 52], [35, 55], [35, 56], [35, 57], [35, 58], [35, 61], [35, 62], [35, 63], [35, 64], [35, 68], [35, 69], [35, 70], [35, 71]]","[""NDTTJ"", ""NDTTT""]",18.91,1.444,night,3,0.02,116.327745,39.982193,0.918,"[0, 115, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.918
8,"[[35, 13], [35, 18], [35, 30], [35, 35], [35, 42], [35, 44], [35, 51], [35, 62]]","[""NDTTJ"", ""NDTTT""]",19.88,0.544,night,4,0.06,116.323036,39.990606,2.311,"[0, 115, 0, 1]","[""体育休闲服务"", ""商务住宅"", ""科教文化服务""]",科教文化服务,1.5
33,"[[35, 13], [35, 18], [35, 19], [35, 21], [35, 22], [35, 27], [35, 28], [35, 29], [35, 3], [35, 30], [35, 34], [35, 35], [35, 36], [35, 41], [35, 42], [35, 43], [35, 44], [35, 45], [35, 49], [35, 51], [35, 52], [35, 55], [35, 56], [35, 57], [35, 58], [35, 61], [35, 62], [35, 63], [35, 64], [35, 68], [35, 69], [35, 70], [35, 71]]","[""NDTTJ"", ""NDTTT""]",18.91,1.444,night,4,0.03,116.326105,39.982068,1.0,"[0, 115, 0, 115]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
33,"[[35, 13], [35, 18], [35, 19], [35, 21], [35, 22], [35, 27], [35, 28], [35, 29], [35, 3], [35, 30], [35, 34], [35, 35], [35, 36], [35, 41], [35, 42], [35, 43], [35, 44], [35, 45], [35, 49], [35, 51], [35, 52], [35, 55], [35, 56], [35, 57], [35, 58], [35, 61], [35, 62], [35, 63], [35, 64], [35, 68], [35, 69], [35, 70], [35, 71]]","[""NDTTJ"", ""NDTTT""]",18.91,1.444,night,5,0.039,116.327089,39.982143,0.971,"[0, 115, 0, 115, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.971
8,"[[35, 13], [35, 18], [35, 30], [35, 35], [35, 42], [35, 44], [35, 51], [35, 62]]","[""NDTTJ"", ""NDTTT""]",19.88,0.544,night,6,0.08,116.324059,39.98776,2.109,"[0, 115, 0, 115, 0, 1]","[""体育休闲服务"", ""商务住宅"", ""科教文化服务""]",科教文化服务,1.459
33,"[[35, 13], [35, 18], [35, 19], [35, 21], [35, 22], [35, 27], [35, 28], [35, 29], [35, 3], [35, 30], [35, 34], [35, 35], [35, 36], [35, 41], [35, 42], [35, 43], [35, 44], [35, 45], [35, 49], [35, 51], [35, 52], [35, 55], [35, 56], [35, 57], [35, 58], [35, 61], [35, 62], [35, 63], [35, 64], [35, 68], [35, 69], [35, 70], [35, 71]]","[""NDTTJ"", ""NDTTT""]",18.91,1.444,night,6,0.049,116.326105,39.982068,1.0,"[0, 115, 0, 115, 0, 115]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
33,"[[35, 13], [35, 18], [35, 19], [35, 21], [35, 22], [35, 27], [35, 28], [35, 29], [35, 3], [35, 30], [35, 34], [35, 35], [35, 36], [35, 41], [35, 42], [35, 43], [35, 44], [35, 45], [35, 49], [35, 51], [35, 52], [35, 55], [35, 56], [35, 57], [35, 58], [35, 61], [35, 62], [35, 63], [35, 64], [35, 68], [35, 69], [35, 70], [35, 71]]","[""NDTTJ"", ""NDTTT""]",18.91,1.444,night,7,0.059,116.326808,39.982121,0.985,"[0, 115, 0, 115, 0, 115, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.985
8,"[[35, 13], [35, 18], [35, 30], [35, 35], [35, 42], [35, 44], [35, 51], [35, 62]]","[""NDTTJ"", ""NDTTT""]",19.88,0.544,night,8,0.099,116.32457,39.986337,1.949,"[0, 115, 0, 115, 0, 115, 0, 1]","[""体育休闲服务"", ""商务住宅"", ""科教文化服务""]",科教文化服务,1.406
33,"[[35, 13], [35, 18], [35, 19], [35, 21], [35, 22], [35, 27], [35, 28], [35, 29], [35, 3], [35, 30], [35, 34], [35, 35], [35, 36], [35, 41], [35, 42], [35, 43], [35, 44], [35, 45], [35, 49], [35, 51], [35, 52], [35, 55], [35, 56], [35, 57], [35, 58], [35, 61], [35, 62], [35, 63], [35, 64], [35, 68], [35, 69], [35, 70], [35, 71]]","[""NDTTJ"", ""NDTTT""]",18.91,1.444,night,8,0.069,116.326105,39.982068,1.0,"[0, 115, 0, 115, 0, 115, 0, 115]","[""商务住宅"", ""科教文化服务""]",科教文化服务,1.0
33,"[[35, 13], [35, 18], [35, 19], [35, 21], [35, 22], [35, 27], [35, 28], [35, 29], [35, 3], [35, 30], [35, 34], [35, 35], [35, 36], [35, 41], [35, 42], [35, 43], [35, 44], [35, 45], [35, 49], [35, 51], [35, 52], [35, 55], [35, 56], [35, 57], [35, 58], [35, 61], [35, 62], [35, 63], [35, 64], [35, 68], [35, 69], [35, 70], [35, 71]]","[""NDTTT""]",18.91,1.444,night,9,0.079,116.326652,39.98211,0.991,"[0, 115, 0, 115, 0, 115, 0, 115, 0]","[""商务住宅"", ""科教文化服务""]",科教文化服务,0.991
8,"[[35, 13], [35, 18], [35, 30], [35, 35], [35, 42], [35, 44], [35, 51], [35, 62]]","[""NDTTT""]",19.88,0.544,night,10,0.119,116.324877,39.985483,1.83,"[0, 115, 0, 115, 0, 115, 0, 115, 0, 1]","[""体育休闲服务"", ""商务住宅"", ""科教文化服务""]",科教文化服务,1.361
